gene,score,logfoldchange,pval,pval_adj,cluster
Elavl2,12.3491335,1.702308,4.923911444242845e-35,5.477768865756336e-33,11
Mapk10,12.159785,1.5969827,5.089243668820345e-34,5.272456440897878e-32,11
Cox5a,11.966106,4.795802,5.348005330224314e-33,5.153984671732455e-31,11
Nap1l5,11.832769,1.5022938,2.642766119263876e-32,2.4472900107775427e-30,11
Tmem178,11.519931,1.8901123,1.0469448959327844e-30,8.63390974874718e-29,11
Olig1,37.031635,18.126022,3.5474567836866634e-300,5.880264364639013e-296,12
Pdgfra,34.457287,15.012415,3.502437341406766e-260,2.9028200685579276e-256,12
Scrg1,34.296604,9.141068,8.817992572258182e-258,4.872234829258388e-254,12
Olig2,34.274208,7.9705753,1.9015029448616263e-257,7.879828203506578e-254,12
C1ql1,33.921154,11.039822,3.249125125604964e-252,1.0771499616405576e-248,12
Lhfpl3,33.216053,10.540366,6.314124474454167e-242,1.7443821214758714e-238,12
Fabp7,31.844551,40.88557,1.56602506830535e-222,3.7083473617470685e-219,12
Bcan,31.643728,6.788434,9.250278734890567e-220,1.9166577538693255e-216,12
Serpine2,31.627535,9.7552595,1.544679929145447e-219,2.8449571672794364e-216,12
Ednrb,30.529753,8.58425,1.050123184662667e-204,1.4505701590806973e-201,12
Ptprz1,30.48533,17.667131,4.077739850721803e-204,5.1994319819665085e-201,12
Cd9,29.353994,11.75412,2.1248427274517774e-189,2.348092870016044e-186,12
Rgcc,28.964687,5.8277197,1.8331261935943098e-184,1.899118736563705e-181,12
Qk,28.948212,8.841804,2.955601518122523e-184,2.881885339082291e-181,12
Cdo1,28.912146,6.6096053,8.401028301872282e-184,7.736413618435274e-181,12
Sox10,28.781458,10.023274,3.660442778814677e-182,3.193447342191162e-179,12
3110035E14Rik,28.62807,5.9538693,3.0063465502428306e-180,2.4916600208412582e-177,12
Ostf1,28.536999,6.9136753,4.0728904099049055e-179,3.2148681635516056e-176,12
Dbi,28.516584,9.689972,7.296990952975325e-179,5.4979510016599545e-176,12
Atp6v0e,27.447182,4.8539066,7.507299845867376e-166,4.786192394042216e-163,12
Asrgl1,27.280859,4.9841614,7.1564234384406e-164,4.236602675556835e-161,12
Cntn1,26.97475,6.8674974,2.924020783614006e-160,1.615618950306192e-157,12
S100a16,26.873028,5.9503303,4.5400636040422577e-159,2.3517529468938896e-156,12
Rpl13,26.414083,43.98576,9.44122049789511e-154,4.7423536658517985e-151,12
Enpp2,25.548738,6.443601,5.670670190980014e-144,2.4101802329662746e-141,12
Dlx1,32.5082,5.9806733,8.165485659788877e-232,1.3535109029666042e-227,9
Gm17750,32.07539,12.797571,9.719257218068416e-226,8.055320382335104e-222,9
Dlx6os1,31.354864,6.3243494,8.351441988471895e-216,4.614450080030338e-212,9
Nrxn3,27.907036,5.1070256,2.191907201801134e-171,7.266610755411119e-168,9
Adarb2,27.695257,8.39877,7.963585601180047e-169,2.2000732487526744e-165,9
Npas1,27.436111,6.9356823,1.0175865228255367e-165,2.4096448860508707e-162,9
Prox1,27.400911,8.324179,2.6747444205033813e-165,5.542070439283006e-162,9
Nr2f2,27.380022,7.1931906,4.743709256949324e-165,8.736858293688e-162,9
Cnr1,27.191772,8.78859,8.126206773903824e-163,1.347000034842298e-159,9
Dlx2,26.216656,3.9555633,1.716377239812417e-151,2.586424466102784e-148,9
Ap1s2,26.048643,5.953957,1.393821724439476e-149,1.9253324086923961e-146,9
Erbb4,25.657171,4.745142,3.5166729788555754e-145,4.484028561346925e-142,9
Gad1,25.394463,4.2308636,2.903308625842855e-142,3.43751741299794e-139,9
Arl4c,23.167957,3.4925163,9.584025324277469e-119,8.361305461853859e-116,9
Maf,21.845972,3.1355774,8.490034162524063e-106,6.39685483081813e-103,9
Npas3,21.377636,4.0580688,2.157834099827705e-101,1.5551416538584363e-98,9
Gad2,21.271254,3.5102584,2.0960791511350104e-100,1.3897843203685574e-97,9
Pnoc,21.011465,7.844192,5.151998203304244e-98,3.284597008383506e-95,9
Dlx5,20.434305,3.4709792,8.286452642744578e-93,4.578541300204471e-90,9
Prox1os,20.162275,7.854823,2.100021246488283e-90,1.0878110056809307e-87,9
Tcf4,19.94894,15.709988,1.5309698502155356e-88,7.4639283050508e-86,9
Slc32a1,19.941467,3.7693872,1.7777074757653912e-88,8.419222605224892e-86,9
Synpr,19.85556,5.268099,9.865438626885203e-88,4.54248640775692e-85,9
Igf1,18.909058,6.670359,9.605684835876055e-80,3.7028798102204996e-77,9
Zfp536,18.516977,4.0392227,1.5066451251452594e-76,5.549811020979515e-74,9
Lmo4,35.261787,13.3842125,2.2635297786427516e-272,3.752026961078225e-268,6
Dok5,32.082718,6.9634533,7.681251824505278e-226,6.366221512149975e-222,6
Xist,31.514826,8.7115555,5.442052738291268e-218,3.006915539663869e-214,6
Marcksl1,25.792952,17.849655,1.063807704365985e-146,4.408419126892642e-143,6
Cd24a,24.896393,10.6106205,8.140306375343406e-137,2.698674369553846e-133,6
Rpl23a,23.765781,9.228405,7.547048393948053e-125,2.084997902968049e-121,6
Ssbp2,22.735582,3.4114547,1.993143578222995e-114,4.1297934940780456e-111,6
Cadm1,21.664421,2.7663429,4.444698423833383e-104,7.367532107346217e-101,6
Tuba1a,20.57643,86.531845,4.4638308220004453e-94,5.691727669652261e-91,6
Nefl,19.710209,4.03271,1.7623725716640213e-86,1.947539183193521e-83,6
Cul4a,19.559406,2.4221003,3.4304684782989194e-85,3.55396534351768e-82,6
Ldb2,19.340605,2.8266315,2.445869607317375e-83,2.3848667418172243e-80,6
Tubb3,19.32202,22.718102,3.506590431527429e-83,3.2291801662777038e-80,6
Arpc5,19.289433,3.559942,6.589296960879663e-83,5.748641390712699e-80,6
Tenm2,18.99753,2.3329248,1.787632561749967e-80,1.4110379687413073e-77,6
Tspan13,18.857635,2.5303338,2.543443696628068e-79,1.9163692143321297e-76,6
Rpl23a-ps3,18.332558,1.9187006,4.549934483495611e-75,3.2791179999314455e-72,6
Gm8730,17.86035,1.9215655,2.401343880170858e-71,1.5921870463084857e-68,6
Msra,17.80917,2.3051257,5.9992357969990216e-71,3.824743560425223e-68,6
Gm9493,17.130524,1.8845925,8.786105844222452e-66,4.854616349127712e-63,6
Mllt11,16.97887,7.782743,1.1772918159862181e-64,6.295093271544371e-62,6
Runx1t1,16.91852,2.2119894,3.285876555272705e-64,1.702084055631261e-61,6
Sla,16.874718,1.9241787,6.90534317002416e-64,3.4685747995854686e-61,6
Syt4,16.62573,3.9329882,4.537952091876674e-62,2.1491741107127927e-59,6
Rpl6l,16.20676,1.7334793,4.517613337684926e-59,1.826438016718667e-56,6
Neurod6,25.007893,13.565515,5.0170204589938883e-138,8.316213112828269e-134,14
Snca,23.411568,7.718606,3.2583716538074095e-121,2.700538426675581e-117,14
Marcksl1,21.85424,20.591356,7.084098830585104e-106,3.9142007405259564e-102,14
Npy,21.284475,21.49839,1.5810638648248428e-100,6.551928655834148e-97,14
Ivns1abp,20.620464,4.0999184,1.798215385912828e-94,5.961443647378207e-91,14
Vsnl1,20.571243,3.6546571,4.967568155474075e-94,1.3723734957523044e-90,14
Cck,19.218737,4.282598,2.5797332533973396e-82,6.1088083440449e-79,14
Runx1t1,17.875175,3.140612,1.840973401046454e-71,3.8144968869682525e-68,14
Calm2,17.78108,23.943289,9.905394294223692e-71,1.824353509122799e-67,14
Rprm,17.712416,5.335301,3.363273452573935e-70,5.574962074986555e-67,14
Gnb4,17.57946,2.6293807,3.5393434699597657e-69,5.333468850732098e-66,14
